market,code,name,signal,entry_price,close,high,n_high,n_high_ratio,atr,low,n_low,last_close
KR,372910,한컴라이프케어,청산,,1857.0,1859.0,1890.0,0.9836,52.1,1810.0,1821.0,
KR,37550K,DL이앤씨우,청산,,24400.0,25700.0,26050.0,0.9866,1025.0,24200.0,24500.0,
KR,005305,롯데칠성우,탈락,,68000.0,68300.0,68900.0,0.9913,1230.0,67500.0,66800.0,
KR,002630,오리엔트바이오,청산,,873.0,874.0,951.0,0.919,43.2,850.0,879.0,
KR,28513K,SK케미칼우,탈락,,23850.0,23850.0,23950.0,0.9958,825.0,23200.0,22600.0,
KR,011230,삼화전자,청산,,2610.0,2640.0,2765.0,0.9548,145.5,2550.0,2600.0,
KR,011390,부산산업,탈락,,48100.0,51000.0,50700.0,1.0059,5760.0,48050.0,47900.0,
KR,35320K,대덕전자1우,청산,,23500.0,23850.0,23500.0,1.0149,1240.0,22400.0,22600.0,
KR,041650,상신브레이크,탈락,,2250.0,2285.0,2290.0,0.9978,82.5,2245.0,2230.0,2265.0
KR,011000,진원생명과학,청산,,2670.0,0.0,0.0,,2670.0,0.0,0.0,
KR,009320,아진전자부품,청산,,960.0,974.0,1070.0,0.9103,35.1,951.0,954.0,
KR,007110,일신석재,확정,620.0,599.0,617.0,612.0,1.0082,77.6,576.0,553.0,
KR,000910,유니온,탈락,,3010.0,3040.0,3030.0,1.0033,104.0,2955.0,2950.0,
KR,069460,대호에이엘,청산,,2660.0,0.0,0.0,,2660.0,0.0,0.0,
KR,004060,SG세계물산,청산,,2260.0,2290.0,2360.0,0.9703,90.0,2215.0,2250.0,
KR,005030,부산주공,청산,,486.0,0.0,0.0,,486.0,0.0,0.0,
KR,074610,이엔플러스,청산,,5110.0,0.0,0.0,,5110.0,0.0,0.0,
KR,008420,문배철강,청산,,2165.0,2170.0,2190.0,0.9909,44.5,2135.0,2140.0,
KR,092780,DYP,청산,,3305.0,3450.0,3540.0,0.9746,178.0,3240.0,3300.0,
KR,026940,부국철강,청산,,2165.0,2170.0,2195.0,0.9886,103.0,2055.0,2085.0,
KR,019490,엑시큐어하이트론,청산,,541.0,0.0,0.0,,541.0,0.0,0.0,
KR,011420,갤럭시아에스엠,청산,,1499.0,1527.0,1565.0,0.9757,71.4,1477.0,1477.0,
KR,012280,영화금속,탈락,,4160.0,4260.0,4290.0,0.993,82.0,3965.0,3765.0,
KR,017040,광명전기,청산,,932.0,0.0,0.0,,932.0,0.0,0.0,
KR,000215,DL우,청산,,23700.0,24100.0,24400.0,0.9877,970.0,22600.0,23500.0,
KR,047400,유니온머티리얼,청산,,952.0,967.0,1080.0,0.8954,68.9,920.0,942.0,
KR,012160,영흥,청산,,2555.0,2635.0,2780.0,0.9478,183.0,2525.0,2535.0,
KR,134790,시디즈,청산,,19730.0,19830.0,20200.0,0.9817,730.0,19520.0,19580.0,
KR,008870,금비,탈락,,39900.0,40250.0,40000.0,1.0063,1620.0,38800.0,37600.0,
KR,000760,이화산업,청산,,14060.0,14060.0,14740.0,0.9539,860.0,13510.0,13530.0,
KR,011300,우성머티리얼스,청산,,2200.0,2770.0,3380.0,0.8195,365.5,2115.0,2705.0,
KR,145270,케이탑리츠,청산,,778.0,805.0,800.0,1.0063,16.6,771.0,780.0,
KR,023960,에쓰씨엔지니어링,확정,1033.0,1026.0,1025.0,1030.0,0.9951,40.5,990.0,961.0,
KR,049800,우진플라임,청산,,1849.0,1849.0,1850.0,0.9995,93.7,1736.0,1750.0,
KR,002870,신풍,청산,,1035.0,1047.0,1053.0,0.9943,48.4,952.0,971.0,
